name,year,miles,color,condition,price
Audi A3,2023,615 miles,"Black exterior, Black interior","No accidents reported, 1 Owner","$34,995"
Lexus LS,2015,"63,131 miles","White exterior, Black interior","1 accident reported, 2 Owners","$25,850"
Chevrolet Silverado 1500,2018,"40,385 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$30,998"
Ford Escape,2022,"26,521 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$28,468"
Nissan Sentra,2021,"9,892 miles","White exterior, Black interior","No accidents reported, 1 Owner","$20,998"
Audi Q3,2021,"52,381 miles","White exterior, Black interior","No accidents reported, 1 Owner","$22,399"
Kia Forte,2021,"26,840 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$17,449"
Lexus RX,2020,"23,942 miles","Black exterior, Unknown interior","No accidents reported, 1 Owner","$35,998"
Subaru Forester,2021,"15,539 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$23,349"
Acura MDX,2017,"20,095 miles","White exterior, Black interior","No accidents reported, 1 Owner","$31,998"
Jeep Grand Cherokee,2017,"64,337 miles","White exterior, Black interior","No accidents reported, 2 Owners","$19,598"
Subaru Forester,2021,"8,879 miles","Green exterior, Gray interior","No accidents reported, 1 Owner","$26,065"
Ford Explorer,2022,"28,520 miles","White exterior, Black interior","No accidents reported, 1 Owner","$26,800"
Subaru Outback,2023,"5,348 miles","Green exterior, Gray interior","No accidents reported, 1 Owner","$34,100"
Land Rover Range Rover Sport,2013,"88,547 miles","White exterior, Black interior","No accidents reported, 2 Owners","$15,995"
Subaru Forester,2021,"17,357 miles","Black exterior, Brown interior","No accidents reported, 1 Owner","$28,299"
Volkswagen Tiguan,2022,"7,139 miles","White exterior, Black interior","No accidents reported, 1 Owner","$26,399"
Ram 1500,2021,"85,851 miles","Silver exterior, Gray interior","No accidents reported, 2 Owners","$31,990"
Subaru Impreza,2019,"35,495 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$18,999"
Ford Escape,2017,"104,814 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$9,950"
Mercedes-Benz GLE,2017,"60,253 miles","Unknown exterior, Unknown interior","No accidents reported, 1 Owner","$38,595"
Kia Soul,2021,"94,094 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$13,495"
Kia K5,2022,"41,939 miles","White exterior, Black interior","No accidents reported, 1 Owner","$22,500"
Toyota Corolla,2014,"106,575 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$10,999"
Hyundai Santa Fe,2021,"39,099 miles","Blue exterior, Black interior","1 accident reported, 1 Owner","$23,998"
Jeep Wrangler,2017,"111,065 miles","White exterior, Black interior","1 accident reported, 2 Owners","$21,997"
Jaguar E-PACE,2020,"22,112 miles","Gray exterior, Unknown interior","No accidents reported, 1 Owner","$26,666"
Toyota RAV4,2021,"21,406 miles","White exterior, Black interior","No accidents reported, 1 Owner","$26,675"
Nissan Altima,2020,"40,274 miles","White exterior, Black interior","No accidents reported, 1 Owner","$17,991"
Volvo XC90,2020,"35,793 miles","Gray exterior, Beige interior","No accidents reported, 1 Owner","$33,395"
Lexus LX,2021,"40,076 miles","White exterior, Red interior","No accidents reported, 1 Owner","$67,998"
Volkswagen Tiguan,2020,"17,193 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$19,490"
Mercedes-Benz C-Class,2016,"81,289 miles","Black exterior, Black interior","4 accidents reported, 3 Owners","$16,999"
Mercedes-Benz C-Class,2021,"30,521 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$30,560"
Hyundai Tucson,2022,"18,493 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$22,500"
Toyota Camry,2020,"22,440 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$29,222"
BMW 3 Series,2015,"78,479 miles","White exterior, Black interior","No accidents reported, 2 Owners","$15,998"
Honda Civic,2012,"46,486 miles","Silver exterior, Gray interior","No accidents reported, 3 Owners","$13,550"
Cadillac Escalade,2014,"79,433 miles","White exterior, Beige interior","No accidents reported, 2 Owners","$22,988"
Ford F-150,2020,"53,981 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$39,998"
Subaru Forester,2017,"83,415 miles","Silver exterior, Black interior","No accidents reported, 2 Owners","$17,595"
Mercedes-Benz GL,2011,"88,997 miles","Black exterior, Black interior","No accidents reported, 3 Owners","$10,988"
Ford Fusion,2012,"98,474 miles","Blue exterior, Gray interior","No accidents reported, 1 Owner","$7,995"
BMW 3 Series,2013,"77,674 miles","Black exterior, Beige interior","2 accidents reported, 4 Owners","$12,900"
Mercedes-Benz GLA,2021,"26,991 miles","White exterior, Black interior","1 accident reported, 1 Owner","$29,649"
Chevrolet Tahoe,2021,"22,912 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$57,500"
Toyota Camry,2009,"155,980 miles","Gold exterior, Beige interior","No accidents reported, 3 Owners","$5,500"
MINI Hardtop,2013,"34,829 miles","Blue exterior, Black interior","No accidents reported, 2 Owners","$15,998"
Ford Escape,2017,"104,814 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$9,950"
Ford Explorer,2020,"44,609 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$24,595"
Toyota Sienna,2013,"123,281 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$16,998"
Honda Civic,2019,"64,566 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$17,084"
Mazda CX-30,2021,"17,131 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$25,998"
Toyota RAV4,2021,"40,149 miles","White exterior, Black interior","No accidents reported, 1 Owner","$30,999"
Honda Civic,2016,"52,912 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$17,998"
Scion xB,2014,"109,345 miles","White exterior, Black interior","1 accident reported, 2 Owners","$7,949"
Ford Transit Passenger Wagon,2019,"73,340 miles","White exterior, Black interior","No accidents reported, 2 Owners","$36,997"
BMW 3 Series,2016,"50,360 miles","Black exterior, Red interior","No accidents reported, 3 Owners","$17,450"
Ford F-150,2014,"99,018 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$14,495"
Chevrolet Camaro,2022,"9,952 miles","Unknown exterior, Unknown interior","No accidents reported, 1 Owner","$30,195"
Chevrolet Camaro,2014,"76,071 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$13,850"
Ford Mustang,2014,"84,324 miles","Silver exterior, Black interior","1 accident reported, 2 Owners","$18,481"
Acura MDX,2020,"36,904 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$28,545"
Toyota RAV4,2021,"60,665 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$22,987"
Cadillac ATS-V,2018,"43,907 miles","Red exterior, Black interior","No accidents reported, 2 Owners","$39,876"
GMC Canyon,2016,"81,653 miles","Silver exterior, Black interior","No accidents reported, 2 Owners","$24,998"
Mercedes-Benz C-Class,2020,"19,543 miles","Silver exterior, Beige interior","No accidents reported, 1 Owner","$26,889"
Toyota Prius,2012,"103,487 miles","Silver exterior, Gray interior","No accidents reported, 2 Owners","$10,999"
Ford Fusion,2015,"83,650 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$11,995"
Ford Bronco,2022,"10,611 miles","Black exterior, Unknown interior","No accidents reported, 1 Owner","$46,997"
Mercedes-Benz GLC,2018,"57,602 miles","Blue exterior, Unknown interior","1 accident reported, 3 Owners","$18,887"
Volkswagen Jetta,2016,"121,571 miles","Gray exterior, Black interior","1 accident reported, 3 Owners","$7,885"
Land Rover Range Rover,2014,"61,910 miles","White exterior, Black interior","No accidents reported, 3 Owners","$26,999"
Land Rover Defender,2022,"46,567 miles","White exterior, Black interior","No accidents reported, 1 Owner","$62,887"
Ford Explorer,2021,"19,369 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$32,998"
BMW 3 Series,2020,"31,684 miles","Gray exterior, Beige interior","1 accident reported, 1 Owner","$24,696"
Mercedes-Benz A-Class,2020,"65,629 miles","White exterior, Black interior","1 accident reported, 1 Owner","$20,555"
Kia Soul,2022,"33,047 miles","White exterior, Black interior","No accidents reported, 1 Owner","$16,988"
Kia K5,2021,"11,972 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$23,766"
Audi A6,2017,"71,003 miles","Blue exterior, Brown interior","1 accident reported, 2 Owners","$15,999"
Volvo V60,2020,"16,883 miles","White exterior, Unknown interior","No accidents reported, 2 Owners","$32,991"
Toyota Camry,2018,"11,043 miles","Blue exterior, Black interior","No accidents reported, 2 Owners","$28,998"
Ford Explorer,2016,"72,635 miles","Silver exterior, Beige interior","No accidents reported, 1 Owner","$18,998"
Audi RS 5,2021,"9,215 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$66,900"
Dodge Charger,2016,"120,296 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$20,998"
Mercedes-Benz CLA,2021,"26,118 miles","White exterior, Black interior","No accidents reported, 1 Owner","$24,991"
Mercedes-Benz C-Class,2023,"10,109 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$39,776"
Toyota RAV4,2021,"18,746 miles","White exterior, Unknown interior","No accidents reported, 1 Owner","$24,999"
BMW X3,2021,"24,706 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$28,999"
Nissan Altima,2020,"44,619 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$17,999"
Jeep Wrangler,2019,"58,038 miles","White exterior, Black interior","No accidents reported, 3 Owners","$27,998"
Acura MDX,2020,"42,610 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$28,987"
Nissan Altima,2012,"115,439 miles","Silver exterior, Black interior","No accidents reported, 7 Owners","$4,395"
Jeep Cherokee,2021,"11,570 miles","White exterior, Black interior","No accidents reported, 2 Owners","$23,030"
Honda Civic,2020,"26,064 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$20,500"
Nissan Titan,2017,"50,920 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$30,998"
Honda HR-V,2021,"18,696 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$23,598"
Mercedes-Benz GLS,2019,"58,536 miles","Black exterior, Brown interior","No accidents reported, 2 Owners","$35,991"
Nissan Kicks,2020,"27,213 miles","Red exterior, Black interior","No accidents reported, 2 Owners","$16,886"
Nissan Altima,2019,"88,155 miles","White exterior, Black interior","No accidents reported, 3 Owners","$14,450"
Nissan Altima,2020,"44,619 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$17,999"
Jeep Gladiator,2021,"26,311 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$38,987"
Mercedes-Benz C-Class,2020,"25,772 miles","White exterior, Black interior","No accidents reported, 1 Owner","$27,933"
Hyundai Tucson,2022,"32,353 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$22,998"
FIAT 124 Spider,2017,"48,992 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$16,200"
Lexus ES,2020,"20,520 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$30,900"
Kia Forte,2021,"31,720 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$17,995"
Mercedes-Benz GLA,2021,"23,533 miles","White exterior, Black interior","No accidents reported, 1 Owner","$30,678"
Toyota Corolla,2021,"66,531 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$18,694"
Ford Escape,2013,"79,850 miles","White exterior, Black interior","No accidents reported, 4 Owners","$9,500"
Hyundai Sonata,2019,"39,599 miles","White exterior, Gray interior","No accidents reported, 2 Owners","$18,998"
Mercedes-Benz GLS,2020,"35,534 miles","Black exterior, Brown interior","No accidents reported, 1 Owner","$54,896"
Toyota Tacoma,2019,"48,925 miles","Gray exterior, Gray interior","No accidents reported, 2 Owners","$27,555"
Honda Fit,2016,"39,162 miles","White exterior, Black interior","No accidents reported, 3 Owners","$17,998"
Volkswagen Tiguan,2020,"39,395 miles","White exterior, Black interior","No accidents reported, 1 Owner","$18,500"
Chevrolet Tahoe,2021,"21,756 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$62,495"
Chevrolet Equinox,2018,"93,999 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$12,998"
Ford Explorer,2021,"42,808 miles","White exterior, Black interior","No accidents reported, 1 Owner","$36,500"
Toyota 4Runner,2015,"89,016 miles","Gray exterior, Black interior","No accidents reported, 3 Owners","$27,444"
BMW X3,2021,"36,680 miles","White exterior, Black interior","No accidents reported, 1 Owner","$28,998"
Volkswagen Jetta,2019,"32,759 miles","Gray exterior, Black interior","1 accident reported, 2 Owners","$16,765"
Audi R8,2012,"33,944 miles","Black exterior, Black interior","No accidents reported, 4 Owners","$88,000"
Chevrolet Express Cargo Van,2017,"117,697 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$18,998"
Ford Mustang,2016,"68,407 miles","Gray exterior, Black interior","2 accidents reported, 2 Owners","$18,998"
Chevrolet Silverado 2500,2004,"47,395 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$19,500"
Honda Accord,2021,"35,759 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$24,899"
Ford Edge,2012,"129,209 miles","Silver exterior, Black interior","No accidents reported, 4 Owners","$8,995"
Land Rover Defender,2021,"29,490 miles","Silver exterior, Brown interior","No accidents reported, 1 Owner","$71,222"
Hyundai Kona,2021,"13,995 miles","White exterior, Gray interior","No accidents reported, 3 Owners","$16,298"
Ford F-150,2017,"58,726 miles","Blue exterior, Gray interior","No accidents reported, 1 Owner","$25,995"
Subaru Forester,2021,"15,539 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$23,349"
Toyota Corolla,2021,"41,229 miles","White exterior, Black interior","No accidents reported, 1 Owner","$18,500"
Toyota Camry,2012,"110,441 miles","White exterior, Gray interior","No accidents reported, 5 Owners","$10,880"
GMC Yukon,2015,"90,045 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$23,999"
Kia Seltos,2021,"34,451 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$18,376"
Nissan Sentra,2021,"38,250 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$17,414"
Toyota Corolla,2021,"44,630 miles","Gray exterior, Black interior","1 accident reported, 2 Owners","$17,000"
Audi Q5,2023,"1,581 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$37,989"
Dodge Challenger,2012,"112,067 miles","Black exterior, Gray interior","No accidents reported, 2 Owners","$16,750"
Ram 2500,2021,"16,763 miles","White exterior, Gray interior","1 accident reported, 1 Owner","$35,999"
